Time	P1_pad	P3b_pad	P3a_pad	P1_cup	P2_cup	P3_cup	P1_green	P2_green	P3_green	P1_pink	P2_pink	P3_pink	P1_ripe	P2_ripe	P3_ripe	null1	null2	null3
K02256	0	10.09	10.34	5.93	0	3.19	0	0	6.08	0	0	0	0	0	4.41	0	0	0
K02257	21.78	20	18.55	33.05	35.46	33.8	30.04	25.43	20.56	39.12	35.07	38.85	0	36.38	38.48	0	0	0
K02258	24.24	26.93	24.7	23.88	20.59	29.59	21.26	27.38	21.93	19.39	17.22	15.86	0	17.79	19.69	0	0	0
K02259	12.5	12.45	20.36	11.12	11.14	13.07	14.15	7.21	8.64	10.52	21.82	7.41	20.63	8.15	10.35	0	0	0
K02260	0	0	0	0	0	0	0	0	0	0	0	0	0	7.11	6.64	0	0	0
K02261	0	0	9.36	5.85	0	0	6.41	2.98	9.93	3.9	5.34	2.88	0	0	5.03	0	0	0
K02262	0	0	0	0	0	3.03	6.65	0	0	0	3.49	0	0	0	0	0	0	0
K02265	149.81	76.19	102.13	0	78.25	90.72	0	95.69	103.77	109.21	113.18	83.25	91.48	127.59	110.36	0	0	0
K02266	249.52	212.31	0	305.81	328.17	336.43	316.52	220.65	190	0	333.27	440.35	508.9	407.17	349.26	0	0	0
K02267	145.48	112.31	146.86	125.68	167.64	150.9	138.96	118.27	187.48	177.73	0	182.85	149.39	199.55	160.88	0	0	0
K02291	99.86	53.05	50.67	49.64	24.85	22.08	25.51	29.87	71.23	36.26	67.61	43.02	0	35.37	32.35	0	0	0
K02293	0	0	0	45.13	36.96	35	39.4	27.24	29.07	80.18	0	17.95	14.66	15.78	18.45	0	0	0
K02295	7.78	8.02	7.8	3.64	3.69	3.32	4.54	2.06	0	4.24	3.95	4	2.68	4.83	3.15	0	0	0
K02320	10.93	10.49	10.45	2.56	4.95	4.48	5.31	2.03	2.65	0	0	0	0	0	0	0	0	0
K02321	8.69	7.52	8.21	2.57	3.73	3.85	0	1.71	0	0	0	0	0	0	0	0	0	0
K02324	6.51	4.69	4.7	3.23	4.16	2.98	0	2	3.26	0	0	0	0	0	0	0	0	0
K02325	8.27	7.38	6.76	3.64	3.73	5.99	0	2.21	2.77	0	0	0	0	0	0	0	0	0
K02326	19.58	17.02	16.66	6.83	6.09	6.34	15.55	10.36	0	8.12	9.22	9.27	0	7.06	5.6	0	0	0
K02327	9.6	9.82	9.16	4.35	5.47	6.55	5.36	3.3	25.19	3.03	2.25	2.62	3.31	2.41	2.89	0	0	0
K02328	12.53	11.19	12.06	6.57	8.32	7.68	8.03	5.98	8.2	4	3.16	3.41	8.9	10.24	4.31	0	0	0
K02331	30.71	26.33	92.22	0	17.6	16.84	17.79	0	0	19.48	19.56	19.06	13.77	16.19	0	0	0	0
K02335	17.5	17.57	27.57	0	25.12	27.18	25.11	16.06	11.05	0	5.7	5.01	8.24	4.91	5.31	0	0	0
K02349	4.1	5.82	3.43	4.88	4.51	4.76	5.66	4.76	2.98	3.86	3.75	0	0	3.99	5.51	0	0	0
K02350	6.05	25.19	6.42	79.3	5.72	7.31	7.77	4.64	72.54	5.54	2.94	3.48	80.75	3.89	4.14	0	0	0
K02355	114.74	28.04	26.15	88.06	76.68	38.22	68.18	56.09	27.13	33.97	56.19	60.21	4.84	43.22	40.41	0	0	0
K02356	24.27	0	29.45	25.65	27.77	22.26	0	8.42	10.91	10.6	9.48	9	11.68	8.23	8.86	0	0	0
K02357	112.53	120.8	121.65	93.3	84.38	82.79	57.62	16.89	39.4	5.47	5.39	6.19	6.2	3.09	4.64	0	0	0
K02358	336.96	312.8	305.4	345.82	305.66	290.84	224.21	81.19	133.93	52.9	49	61.03	35.59	42.53	48.79	0	0	0
K02365	18.63	0	0	32.98	5.98	8.22	0	10.01	0	0	4.65	0	0	0	27.96	0	0	0
K02366	5.68	0	0	51.57	58.14	55.84	49.52	37.48	34.14	25.72	25	23.7	28.57	26.95	57.84	0	0	0
K02367	44.21	18.36	45.01	0	15.76	16.58	0	27.48	12.9	9.4	9.12	14.03	11.02	11.67	11.35	0	0	0
K02372	54.13	0	63.15	67.89	82.37	0	76.1	43.44	64.61	47.8	0	33.33	20.48	45.86	35.7	0	0	0
K02377	25.07	19.57	23.5	32.93	42.37	37.83	34.77	28.79	18.85	28.59	26.54	25.13	13.08	28.78	25.97	0	0	0
K02433	56.82	41.97	18.15	0	14.58	14.95	33.92	7.67	9.13	7.39	6.68	6.63	6.49	5.93	6.24	0	0	0
K02434	22.83	24.34	18.77	19.93	18.68	17.67	15.99	9.86	14.53	6.7	5.88	6.09	6.43	5.99	7.28	0	0	0
K02435	0	65.72	65.03	106.06	89.63	126.59	56.64	61.57	0	64.82	43.46	37.68	51.66	52.51	75.22	0	0	0
K02437	45.16	436.96	81.22	77.87	81.3	98.34	176.7	85.23	33.08	268.25	3.14	259.71	131.78	228.8	194.36	0	0	0
K02469	23.68	24.56	24.89	13.99	15.37	15.03	14.82	0	14.5	6.01	5.13	5.25	4.89	5.71	5.5	0	0	0
K02470	16.27	14.76	28.19	34.81	14.8	13.29	16.01	17.21	0	30.97	36.53	0	0	7.72	8.75	0	0	0
K02487	0	0	322.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02492	116.41	118.88	94.96	91.81	125.87	7.25	81.23	33.02	44.24	22.43	4.4	21.12	11.34	20.33	24.41	0	0	0
K02493	45.28	22.24	22.67	15.48	16.92	18.22	12.51	9.4	12.04	4.15	4.9	4.84	3.76	6.92	6.97	0	0	0
K02495	2.16	3.81	3.68	3.44	4.93	3.85	0	0	0	0	0	0	0	0	0	0	0	0
K02503	167.88	0	125.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02516	24.64	27.58	56.06	27.18	20.69	19.83	0	18.78	21.5	19.28	17.58	13.1	15.53	15.91	18	0	0	0
K02518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02519	66.94	61.35	23.72	20.16	70.26	32.35	31.48	22.83	22.33	41.14	33.66	37.31	35.07	31.03	34.28	0	0	0
K02520	0	21.25	0	16.78	116.47	0	117.87	14.09	14.94	28	54.88	64.86	12.04	13.42	13.37	0	0	0
K02527	4.12	4.7	5.22	4.51	3.39	5.91	5.41	4.62	3.94	0	1.7	3.21	3.17	0	4.48	0	0	0
K02535	6.29	0	4.53	0	3.72	4.31	8.6	2.38	4.05	3.5	3.34	3.38	3.16	3.95	3.96	0	0	0
K02537	14.02	12.11	12.53	10.8	13.27	15.01	11.17	3.19	0	3.33	3.35	2.49	0	0	1.95	0	0	0
K02540	24.8	22.17	22.55	3.62	5.85	5.72	4.8	3.47	3.02	0	0	0	0	0	0	0	0	0
K02541	31.31	35.83	18.52	5.93	5.98	5.92	5.32	2.75	4.33	0	0	0	0	0	0	0	0	0
K02542	17.98	34.02	15.9	0	4.58	4.58	0	0	2.9	0	0	0	0	0	0	0	0	0
K02548	0	0	0	53.81	0	45.61	37.33	0	0	10.98	0	11.17	0	8.62	0	0	0	0
K02552	0	0	0	109.4	0	54.73	0	4.64	5.8	3.66	3.92	4.4	0	7.14	2.72	0	0	0
K02553	0	0	57.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02575	6.93	13.38	9.52	10.1	10.17	4.77	28.06	29.39	33.78	3.8	2.65	4.39	0	4.76	32.85	0	0	0
K02603	0	11.89	10.61	6.03	4.84	6.18	7.09	2.53	4.03	0	2.72	0	4.05	2.36	0	0	0	0
K02604	15.76	0	61.11	14.49	17.02	0	14.99	15.08	8.94	4.3	2.84	3.27	0	2.85	3.26	0	0	0
K02605	5.99	5.73	5.81	2.51	2.65	3.05	0	0	3.08	0	0	0	0	0	0	0	0	0
K02606	4.95	4.53	4.78	5.91	0	3.08	0	2.96	0	0	0	0	0	0	0	0	0	0
K02607	3.78	5.72	3.72	4.12	0	5.41	0	0	2.33	0	0	0	0	0	0	0	0	0
K02608	6.54	4.94	5.53	2.84	4.36	4.26	0	0	0	0	0	0	0	0	0	0	0	0
K02619	0	0	14.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02634	0	0	7.73	0	0	5.49	0	0	0	0	0	0	0	0	0	0	0	0
K02635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02636	268.77	278.26	259.33	360.56	321.23	295.34	209.51	63	156.92	15.07	15.83	20.1	7.67	7.36	13.46	0	0	0
K02638	1580.89	0	78.32	0	98.89	111.5	78.71	298.62	522.64	86.91	95.34	6.89	0	5.47	95.93	0	0	0
K02639	76.15	63.73	63.83	104.36	42.78	51.82	44.47	6.01	58.3	26.49	48.21	136.09	21.76	36.91	38.75	0	0	0
K02641	55.65	60.2	57.55	376.06	88.81	78.23	282.28	60.89	241.84	73.37	58.44	58.14	65.76	49.66	51.29	0	0	0
K02684	11.55	9.8	10.84	2.82	4.17	0	5.15	2.25	3.26	0	0	0	0	0	0	0	0	0
K02685	20.19	0	56.74	0	0	0	21.28	9.61	12.33	6.06	0	5.21	6.89	15.27	5.26	0	0	0
K02687	2.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02689	10.28	44.46	35.99	0	0	0	18.15	15.12	0	0	3.01	3.45	4.38	0	0	0	0	0
K02690	0	0	0	0	13.43	17.98	0	0	0	3.34	3.21	0	0	0	5.42	0	0	0
K02692	789.39	656.63	711.9	1217.61	1015.41	975.51	374.03	299.69	460.7	0	99.08	130.61	14.02	45.84	103.36	0	0	0
K02693	288.47	190.43	0	565.42	254.62	182.3	121.43	121.76	200.35	69.1	81.59	137.35	17.31	44.08	87.28	0	0	0
K02694	491.38	546.7	523.49	0	311.31	0	398.47	113.25	0	43.22	0	42.15	0	0	0	0	0	0
K02695	515.73	452.15	470.76	540.32	629.94	534.18	372.23	99.84	181.84	34.08	0	0	10.27	26.53	48.45	0	0	0
K02698	571.31	511.04	547.44	631.14	527.54	509.33	439.02	165.12	248.99	38.69	43.8	44.49	5.32	23.69	46.97	0	0	0
K02699	701.37	666.3	652.16	1148.7	964.32	861.59	660.4	217.44	436.31	43.31	59.47	81.57	16.86	26.43	59.52	0	0	0
K02701	381.49	314.94	316.71	458.12	382.29	208.92	310.64	0	214.43	12.91	0	0	0	0	0	0	0	0
K02703	48.03	145.02	122.25	135.19	62.57	290.67	84.11	26.41	60.17	32.19	20.16	36.98	12.26	35.98	46.51	0	0	0
K02704	10.02	19.68	24.13	23.52	17.62	13.7	10.93	2.33	8.51	2.71	2.51	2.82	0	0	3.2	0	0	0
K02705	19.27	62.24	64.82	0	27.87	24.55	0	5.08	14.97	5.86	0	6.66	3.77	8.19	0	0	0	0
K02706	0	0	0	0	0	0	15.25	0	0	0	2.79	0	6.73	0	9.03	0	0	0
K02707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02716	1214.48	1198.16	1101.27	1962.04	1534.18	1704.43	1035.51	387.33	561.91	67.45	92.5	105.73	0	44.58	90.36	0	0	0
K02717	72.05	705.5	562.22	626.11	48.66	1225	32.83	280.85	7.98	128.49	9.94	9.17	49.46	89.2	135.59	0	0	0
K02721	893.3	708.23	817.75	901.54	784.18	350.22	619.59	238.41	340.62	87.6	84.17	150.64	33.53	70.19	101.95	0	0	0
K02723	528.71	370.45	379.4	804.48	682.67	636.13	546.56	169.13	268.47	36.39	38.98	42.35	23.43	24.11	41.81	0	0	0
K02725	109.02	93.47	99.98	83.51	90.19	97.35	95.39	82.04	75.78	91.98	88.71	88.98	87.35	89.21	91.93	0	0	0
K02726	137.1	145.89	149.68	122.72	152.04	128.7	128.9	122.75	132.36	95.52	127.69	122.44	106.16	129.27	119.51	0	0	0
K02727	148.14	140.51	141.85	112.62	133.29	122.89	122.01	111.95	114.22	110.44	97.89	92.33	66.72	113.16	100.6	0	0	0
K02728	159.75	159.25	121.19	77.86	144.38	148.84	92.98	149.84	0	190.92	172.78	197.32	99.06	166.53	151.07	0	0	0
K02729	118.76	99.03	123.62	100.09	140.82	111.92	80.41	95.28	130.65	104.97	70.77	93.89	71.33	105.87	95.13	0	0	0
K02730	130.59	142.68	141.57	135.04	145.04	140.22	89.78	89.04	98.71	108.68	111.09	103.29	0	118.71	100.99	0	0	0
K02731	107.23	108.58	104.04	83.66	105.89	89.15	94.63	80.21	77.69	65.38	0	59.38	0	151.07	0	0	0	0
K02732	59.78	57.56	62.42	41.6	49.85	46.51	56.01	43.73	46.26	50.26	55.35	100.13	31.86	59.86	52.84	0	0	0
K02734	97.86	121.69	118.42	102.03	110.38	109.64	101.13	103.48	88.57	98.36	131.19	98.93	88.37	104.47	94.44	0	0	0
K02735	114.07	116.87	100.86	94.19	104.19	102.97	111.79	89.14	92.24	101.12	94.58	83.19	89.22	106.28	99.73	0	0	0
K02736	171	146.11	164.21	138.26	0	100.71	141.37	118.25	136.1	116.69	0	104.35	91.62	120.32	104.55	0	0	0
K02737	125.75	112.25	115.84	116.68	123.95	121.2	123.3	94.89	99.34	116.2	114.92	115.48	111.7	133.77	131.12	0	0	0
K02738	83.15	104.65	83.73	68.5	78.73	88.81	89.66	57.75	59.93	67.42	85.87	0	42.65	67.04	130.47	0	0	0
K02739	143.76	129.98	123.46	131.39	168.63	126.34	119.96	177.07	97.9	98.24	106.62	179.18	155.31	120.52	100.62	0	0	0
K02830	7.59	8.13	5.59	5.15	6.26	5.76	7.2	3.05	4.87	0	3.58	0	0	2.74	2.67	0	0	0
K02831	0	0	19.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02834	46.48	39.84	37.39	34.49	30.3	28.48	26.26	10.04	20.56	5.01	4.46	5.72	0	4.02	5.04	0	0	0
K02835	4.73	12.8	19.76	14.19	6.31	11.48	4.81	4.3	7.72	4.66	4.91	5.52	4.32	3.7	9.02	0	0	0
K02836	5.1	13.4	0	16	5.84	5.16	10.09	5.02	8.63	5.13	4.09	2.88	4.6	4.99	4.15	0	0	0
K02838	22.65	19.19	20.79	17.56	64.41	64.7	22.08	12.09	17.17	18.07	16.83	11.87	25.33	15.52	16.82	0	0	0
K02858	20.66	0	20.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02863	98.13	100.03	104.3	114.44	95.66	94.93	131.79	0	51.21	25.03	19.4	21.2	20.07	42.08	22.44	0	0	0
K02864	121.89	96.39	85.56	113.93	109.89	104.2	63.73	30.58	48.47	15.08	19.11	18.41	10.49	14.02	17.25	0	0	0
K02865	242.73	256.39	191.34	124.24	148.28	205.72	211.82	211.65	236.47	337.04	240.64	194.31	141.35	217.95	210.22	0	0	0
K02866	0	426.51	244.22	283.93	94	346.8	408.74	124.55	239.87	186.02	376.51	338.29	289.7	251.74	273.63	0	0	0
K02867	73.23	61.08	54.96	52.63	50.97	46.13	32.66	11.38	23.46	10.74	10.92	11.16	6.38	6.19	9.58	0	0	0
K02868	300.77	301.74	305.19	235.06	255.62	234.41	264.83	210.56	221.31	298.42	275.32	0	242.06	151.81	266.81	0	0	0
K02870	243.19	240.95	232.7	195.76	161.2	217.92	235.84	204.93	140.7	275.73	291.74	237.62	123.04	317.54	171.42	0	0	0
K02871	0	0	171.5	221.99	222.06	217.35	0	97.24	141.5	133.07	0	0	92.73	362.37	118.74	0	0	0
K02872	136.28	326.65	275.29	195.44	207.33	224.8	219.76	175.04	180.13	332.45	253.81	217.56	192.36	0	281.3	0	0	0
K02873	517.5	488.6	515.23	403.01	514.63	0	505.47	351.29	336.51	527.37	528.18	388.27	0	0	413.8	0	0	0
K02874	45.17	18.13	20.49	48.04	60.87	54.26	7.34	83.32	9.7	33.78	28.13	22.77	38.45	3.5	5.11	0	0	0
K02875	307.3	730.45	259.07	257.63	183.1	511.11	298.31	265.34	149.85	514.95	475.8	439.99	428.46	442.51	394.58	0	0	0
K02876	117.78	103.33	95.69	118.99	102	106.95	80.51	30.03	51.95	18.87	18.45	17.67	12.77	14.68	18.87	0	0	0
K02877	479.2	346.37	396.17	289.83	328.02	435.21	464.28	301.04	281.46	541.89	364.43	0	0	0	328.48	0	0	0
K02878	36.73	0	0	14.03	7.71	12.18	0	0	0	0	0	0	0	0	6.43	0	0	0
K02879	145.73	141.97	142.05	135.62	122.99	128.11	71.95	26.08	47.76	27.27	26.88	11.05	19.04	27.89	29.58	0	0	0
K02880	293.81	148.84	310.6	228.75	245.9	243.07	298.87	267.86	231.1	356.98	340	283.06	335.11	279.6	267.54	0	0	0
K02881	173.63	53.49	3.23	3.75	5.15	57.42	50.44	19.96	31.36	21.97	20.94	21.03	107.64	10.66	19.82	0	0	0
K02882	0	446.31	0	0	0	0	415.21	0	277.24	255.71	357.52	257.3	0	0	0	0	0	0
K02883	309.03	0	314.24	0	258.35	0	0	0	222.02	335.17	271.32	243.02	222.14	234.54	280.45	0	0	0
K02884	151.3	25.27	127.79	16.6	135.97	19.49	20.29	33.53	20.87	25.94	23.41	18.71	21.68	20.77	22.34	0	0	0
K02885	30.56	236.18	0	267.02	294.52	331.19	331.17	261.69	258.15	399.47	326.57	323.19	228.59	0	345.62	0	0	0
K02886	0	0	0	0	0	0	0	0	0	0	0	0	5.23	0	0	0	0	0
K02888	36.95	34.09	31.95	26.55	29.11	26.01	25.12	18.64	22.32	16.25	14.76	11.97	14.31	13.39	14.97	0	0	0
K02889	858.25	210.35	396.48	346.32	0	453.66	459.77	362.69	0	0	0	0	371.08	452.79	649.76	0	0	0
K02890	0	83.53	0	148.49	0	0	55.89	46.1	105.13	0	50.76	0	0	0	48.52	0	0	0
K02891	259.46	269.06	291.02	152.48	235.29	227.53	276.21	165.13	161	430.52	341.35	310.73	238.21	263.86	336.98	0	0	0
K02892	86.08	38.88	105.68	1.96	81.65	98.62	40.67	46.82	33.45	48.52	26.71	48	38.29	57.76	23.39	0	0	0
K02893	302.49	563.51	139.45	324.98	321.33	336.05	0	313.35	266.74	488.56	180.45	307.6	308.44	355.65	230.99	0	0	0
K02894	420.72	476.3	469.67	417.54	381.21	405.01	445.11	313.18	355.21	0	416.14	396.53	462.66	370.6	461.13	0	0	0
K02895	33.52	153.19	145.82	182.29	38.49	181.45	109.1	34.08	48.12	27.76	25.77	23.94	55.57	34.73	25.91	0	0	0
K02896	72.42	93.14	72.37	426.31	446.41	59.41	92.82	468.3	87.54	90.63	586.95	514.37	183.6	94.83	154.7	0	0	0
K02897	40.52	48.15	48.53	45.24	50.33	48.94	43.44	108.12	7.84	12.52	9.99	24.83	27.93	31.95	28.53	0	0	0
K02898	0	0	0	327.65	296.06	0	278.58	261.31	261.34	263.39	237.04	186.17	129.18	305.19	251.51	0	0	0
K02899	121.4	108.03	107.47	135.17	115.94	47.07	93.24	31.76	63.77	11.57	27.97	27.5	31.91	28.92	30.61	0	0	0
K02900	163.92	362.57	435.05	351.69	332.21	360.95	327.46	286.54	235.42	120.09	302.65	285.41	317.49	289.59	311.84	0	0	0
K02901	0	0	0	0	0	277.1	0	0	0	0	5.06	0	0	0	0	0	0	0
K02902	43.85	47.06	43.56	157.33	31.62	33.31	37.32	39.04	35.22	30.92	34.9	51.41	25.95	43.64	37.13	0	0	0
K02903	453.78	433.67	303.97	88.88	251.44	354.82	221.97	278.22	344.49	379.08	356.98	247.38	227.47	335.6	352.03	0	0	0
K02904	152.42	133.72	131.64	0	153.26	0	87.18	28.31	66.27	9.43	12.79	16.89	12.86	61.02	16.25	0	0	0
K02906	54.57	162.88	158.87	151.33	81.89	156.23	72.67	34.91	70.14	35.45	40.14	34.53	36.31	35.99	40.25	0	0	0
K02907	44.21	27.41	0	40.16	24.91	29.57	28.34	0	33.52	92.57	31.52	35.13	34.42	34.04	0	0	0	0
K02908	324.38	315.02	321.24	258.57	287.49	343.54	292.91	237.85	259.75	298.77	277.49	277.02	243.4	410.83	164.58	0	0	0
K02909	0	0	0	293.56	247.59	0	0	38.16	0	22.96	0	46.87	27.74	27.16	0	0	0	0
K02910	295.2	341.8	258.82	0	0	0	0	267.78	450.82	437.64	305.1	264.9	247.02	307.01	365.2	0	0	0
K02911	22.6	0	0	0	18.12	0	0	12.24	0	0	13.96	0	0	0	0	0	0	0
K02912	92.1	101.11	112.31	384.67	79.31	72.98	92.87	59.2	61.78	125.32	86.05	81.42	311.9	394.44	84.76	0	0	0
K02914	0	0	0	151.99	48.45	44.88	0	0	48.03	5.84	66.93	47.26	0	4.11	8.68	0	0	0
K02915	402.53	371.69	331.78	264.38	159.93	289.24	143.03	561.19	254.42	809.79	473.61	530.51	196.5	561.28	626.82	0	0	0
K02916	0	213.47	0	150.98	123.36	0	104.7	0	64.22	13.09	0	0	10.54	0	0	0	0	0
K02917	276.48	276.35	254.61	212.61	234.49	178	209.47	159.4	205.24	296	215.98	0	232.61	215.82	243.73	0	0	0
K02918	263.78	285.35	266.45	186.78	185.34	196.71	231.52	462.6	201.59	290.28	190.9	211.75	189.8	220.66	231.1	0	0	0
K02919	27.36	7.63	31.45	22.45	28.7	8.86	34.54	8.67	0	26.61	8.48	21.16	8.73	31.59	33.31	0	0	0
K02920	665.92	294.48	429.31	460.49	196.74	232.52	224.42	247.07	208.99	296.64	685.47	221.71	160.49	275.28	605.74	0	0	0
K02921	0	0	0	0	0	0	353.26	353.45	187.39	0	290.71	0	363.25	396.39	0	0	0	0
K02925	230.44	259.65	266.9	176.4	200.97	206.95	210.29	164.52	175.44	274.95	238.65	187.7	219.83	219.39	174.59	0	0	0
K02926	27.06	28.01	29.99	19.14	44.38	43.16	21.56	18.18	19.96	16.15	15.75	12.99	15.48	14.9	17.31	0	0	0
K02927	137.24	165.26	651.68	141.14	357.59	197.15	220.76	179.1	137.92	194.46	195.98	512	142.86	346.8	217.68	0	0	0
K02929	421.89	413.38	370.52	322.61	343.91	309.71	441.86	354.34	403.3	444.04	409.26	276.83	442.56	425.39	402.73	0	0	0
K02930	347.33	384.14	383.22	275.24	308.67	299.04	313.77	248.7	238.17	373.46	296.08	248.69	0	299.38	283.65	0	0	0
K02931	184.21	179.22	178.54	189.69	196.04	186.47	134.44	58.43	99.7	36.84	34.55	36.21	23.66	36.68	35.7	0	0	0
K02932	464.77	459.61	452.71	196.37	338.34	366.53	370.2	129.75	213.52	331.61	313.23	266.77	156.78	294.36	300.61	0	0	0
K02933	155.08	18.74	19.75	15.98	28.28	134.17	91.44	22.77	23.12	24.15	20.52	20.54	18.43	23.21	21.01	0	0	0
K02934	391.05	399.69	379.42	260.76	185.77	293.15	307.49	237.51	244.71	378.32	300.18	259.84	187.86	278.29	222.03	0	0	0
K02935	283.48	290.48	259.06	300.05	17.43	18.19	28.64	14.55	50.09	23.71	21.13	51.67	21.88	22.25	13.31	0	0	0
K02936	440.36	862.28	452.97	310.1	325.73	354.92	0	495.16	320.45	435.03	405.37	322.02	313.46	0	350.07	0	0	0
K02937	244.74	216.61	240.07	146.21	127.88	179.69	179.81	141.85	129.66	233.19	196.71	155.27	151.12	186.92	178.95	0	0	0
K02938	339.15	359.44	355.99	365.3	350	0	311.46	258.34	279.51	217.03	222.83	213.78	185	208.04	0	0	0	0
K02939	27.32	79.08	24.3	18.58	127.14	20.35	26.02	17.61	50.7	18.23	16.9	17.16	15.86	17.37	16.95	0	0	0
K02940	438.44	394.61	424.49	308.74	334.9	363.48	338.53	322.39	313.46	572.89	518.27	422.42	360.36	466.51	400.57	0	0	0
K02941	282.21	378.43	387.8	0	289.98	317.11	301.49	267.53	273.43	319.65	323.67	285.71	289.41	324.63	327.52	0	0	0
K02942	366.07	415.75	450.12	448.54	375.86	404.83	484.74	353.31	117.18	387.33	327.61	351.21	302.82	332.93	357.33	0	0	0
K02943	479.32	0	0	0	0	232.7	0	0	0	0	369.33	0	0	330.64	155.7	0	0	0
K02945	131.66	126.96	38.56	34.15	27.85	28.65	20.89	7.94	52.85	4.76	4.35	4.28	4.97	7.62	5.58	0	0	0
K02946	3.56	5.63	152.89	166.01	146.88	40.13	119.35	51.78	96.72	40.19	34.61	43.98	27.41	47.46	35.78	0	0	0
K02947	392.56	202.95	440.17	172.14	153.81	192.68	326.24	146.83	313.11	199.54	176.33	186.91	201.37	170.19	172.62	0	0	0
K02948	0	52.95	0	45.34	54.85	55.69	46.94	46.94	39.76	43.16	38.73	39.91	29.77	46.67	42.93	0	0	0
K02949	481.31	509.16	364.29	0	342.71	165.43	382.33	304.15	241.89	435.79	354.74	284.44	251.67	365.28	340.02	0	0	0
K02950	46.32	215.72	0	0	0	7.44	0	49.76	0	0	36.59	59.75	0	54.46	0	0	0	0
K02951	298.59	295.84	324.12	228.44	259.11	242.89	250.22	187.9	192.72	284.95	261.64	0	146.68	234.57	279.8	0	0	0
K02952	227.71	135.17	197.86	197.56	0	167.3	149.28	70.66	110.79	64.85	54.59	49.63	44.85	53.3	47.94	0	0	0
K02953	307.65	374.38	313.35	183.72	174.76	330.81	240.24	226.2	128.29	443.07	277.28	261.34	130.47	283.54	277.2	0	0	0
K02954	0	30.34	31.16	0	33.14	34.44	0	42.81	68.79	0	0	0	0	0	0	0	0	0
K02955	337.27	350.05	377.88	265.19	263.55	267.01	277	295.84	235.65	391	365.28	293.1	152.69	369.65	303.23	0	0	0
K02957	271.95	387.86	334.89	371.15	283.42	496.46	358.66	363.34	44.34	65.81	22.85	26.81	602.61	479.73	299.68	0	0	0
K02958	453.1	359.56	508.14	407.62	528.36	335.14	402.84	0	242.05	732.38	382.6	424.26	580.08	583.42	0	0	0	0
K02959	41.16	58.78	47.22	36.7	49.18	48.1	31.47	32.77	0	21.88	18.3	0	36.83	0	24.71	0	0	0
K02960	0	0	0	0	498.26	0	0	0	0	0	0	0	0	0	0	0	0	0
K02961	21.8	24.66	22.43	21.26	26.21	20.45	23.8	22.56	23.7	33.47	27.22	20.74	28.02	27.44	22.61	0	0	0
K02962	0	227.9	0	261	0	395.89	292.43	274.75	261.09	879.55	322.38	8.66	11.09	366.11	367.7	0	0	0
K02963	0	16.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02964	368.12	378.2	376.95	328.25	334.24	317.51	344.75	228.54	350.61	373.7	432.37	353.13	227.24	288.09	312.45	0	0	0
K02966	188.49	320.55	46.43	238.17	363.99	293.74	300.4	30.44	346.59	313.31	359.88	337.68	206.78	39.64	391.59	0	0	0
K02967	50.66	47.27	0	0	40.76	0	0	0	0	34.22	0	33.87	0	23.69	0	0	0	0
K02968	150.34	112.1	123.47	144.05	120.67	140.09	76.33	30.67	46.48	10.6	12.02	11.92	8.59	7.92	10.24	0	0	0
K02969	411.37	0	440.11	271.77	329.07	333.79	226.69	324.58	303.44	485.94	323.46	343.83	311.4	0	393.81	0	0	0
K02970	0	0	24.95	0	0	0	0	0	22.65	0	0	0	71.99	0	0	0	0	0
K02971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02973	0	366.9	78.77	251.74	280.64	271.87	309.38	0	227.24	339.52	295.76	245.25	165.72	287.88	272.2	0	0	0
K02974	526.06	530.93	526.8	505.1	404.86	423.69	443.29	438.56	345.59	812.92	547.01	480.93	314.67	588.23	583.72	0	0	0
K02975	292.33	343.93	408.43	146.92	281.52	284.66	0	350.59	101.25	555.95	351.2	335.58	397.08	479.06	397.29	0	0	0
K02976	428.41	415.96	439.97	320.73	331.7	357.28	333.18	280.64	342.26	393.33	360.83	327.92	304.26	335.04	356.95	0	0	0
K02977	615	1272.73	639.46	501.84	561.04	482.36	581.97	442.97	443.97	601.53	556.8	433.6	376.32	574.6	566.51	0	0	0
K02978	551.84	605.83	574.65	0	0	526.33	0	294.82	494.29	4.81	0	691.02	0	0	717.24	0	0	0
K02979	0	0	0	0	0	338.95	0	0	0	0	0	0	0	0	0	0	0	0
K02980	133.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02981	90.15	92.03	89.59	62.1	63.36	65.72	270.81	48.48	198.84	82.05	68.31	76.89	69.45	66.12	258.57	0	0	0
